"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 21:42:49 CST 2024","Mon Jul 22 21:42:50 CST 2024","636","testcase.carts","test_carts","TestCarts","","","test_carts2[result0]",""
"passed","Mon Jul 22 21:42:50 CST 2024","Mon Jul 22 21:42:50 CST 2024","239","testcase.login","test_login","TestLogin","","","test_logins[result0]",""
"passed","Mon Jul 22 21:42:50 CST 2024","Mon Jul 22 21:42:51 CST 2024","432","testcase.login","test_login","TestLogin","","","test_aaa[result0]",""
"passed","Mon Jul 08 21:41:49 CST 2024","Mon Jul 08 21:41:49 CST 2024","237","testcase.carts","test_carts","TestCarts","","","test_carts2[result0]",""
